			time	P1	Y1	R1	P2	Y2	R2	P3	Y3	R3	P4	Y4	R4	P5	Y5	R5	Xpos	Ypos	Zpos	Xangle	Yangle	Zangle	Xled	Yled	Zled	fingers	goalIter	goalNum	goalSlot	OccupiedSlot	AgainstBorder	VelX	VelY	VelZ	VelXang	VelYang	VelZAng	grasp	fingers
0	0.0016602	0.0521761	0.000001	0.000412531	0.000239671	0.00378491	0.00359346	-0.00045725	-0.00303926	0.00136891	0.000925896	6.90441E-05	-0.000158499	0.00225827	-0.00295789	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.010107	0.000656737	0.000595801	0.00392763	0.00371093	-0.000379628	-0.00314249	0.00136891	0.000925896	6.90441E-05	0.000282332	0.00234179	-0.00319022	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.02007	0.000656737	0.000595801	0.00392763	0.00371093	-0.000379628	-0.00314249	0.00136891	0.000925896	6.90441E-05	0.000507813	0.00231635	-0.00336464	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.030107	0.000656737	0.000595801	0.00392763	0.00371093	-0.000379628	-0.00314249	0.0013651	0.00118898	3.90044E-05	0.000647809	0.00228044	-0.00346663	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.04009	0.000792427	0.000830083	0.00411067	0.00412085	-0.000115941	-0.00339658	0.0013651	0.00118898	3.90044E-05	0.000818199	0.00224561	-0.00359365	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.050138	0.00118975	0.00107703	0.00445857	0.00421837	-4.56083E-05	-0.00343856	0.0013651	0.00118898	3.90044E-05	0.000818199	0.00224561	-0.00359365	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.060096	0.00118975	0.00107703	0.00445857	0.00421837	-4.56083E-05	-0.00343856	0.00142264	0.00153948	-0.000205181	0.00115015	0.00211414	-0.00389062	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.070097	0.000968031	0.00122993	0.00454957	0.00416293	0.000114501	-0.00341482	0.00164434	0.00167815	-0.000444183	0.00138002	0.00200139	-0.00413638	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.080146	0.000978609	0.00129674	0.0046049	0.00416293	0.000114501	-0.00341482	0.00164434	0.00167815	-0.000444183	0.00155692	0.00190925	-0.00433643	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.090099	0.000978609	0.00129674	0.0046049	0.00416464	0.00013955	-0.00344187	0.00164434	0.00167815	-0.000444183	0.00170324	0.00182024	-0.00453482	0.00915524	-0.00525448	-0.00167363	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.100156	0.000978609	0.00129674	0.0046049	0.00380468	0.000141952	-0.00349973	0.00164434	0.00167815	-0.000444183	0.00181346	0.00174739	-0.00471974	0.0159306	-0.0120551	-0.00327395	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.110075	0.000978609	0.00129674	0.0046049	0.00380468	0.000141952	-0.00349973	0.00181374	0.00152641	0.000207947	0.00181346	0.00174739	-0.00471974	0.0164058	-0.0126185	-0.00347064	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.120056	0.00112323	0.00136393	0.00447066	0.00380468	0.000141952	-0.00349973	0.00181374	0.00152641	0.000207947	0.00193063	0.00165123	-0.00492198	0.0168289	-0.0131308	-0.00373542	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.130079	0.00112323	0.00136393	0.00447066	0.00380468	0.000141952	-0.00349973	0.00217419	0.00139205	0.000347591	0.00222431	0.00135226	-0.00552238	0.0168289	-0.0131308	-0.00373542	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.140063	0.00211838	0.00123825	0.00409306	0.00352124	-8.73657E-05	-0.00402859	0.00217419	0.00139205	0.000347591	0.00222431	0.00135226	-0.00552238	0.0168289	-0.0131308	-0.00373542	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.150102	0.00237762	0.00118689	0.00377789	0.00368064	-0.000103447	-0.00429267	0.00217419	0.00139205	0.000347591	0.00222431	0.00135226	-0.00552238	0.0181732	-0.0141941	-0.00535913	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.160102	0.00237762	0.00118689	0.00377789	0.00368064	-0.000103447	-0.00429267	0.00234021	0.00123799	0.000126702	0.00238789	0.00111109	-0.00604704	0.0186981	-0.0143958	-0.00572186	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.170099	0.00237762	0.00118689	0.00377789	0.00368064	-0.000103447	-0.00429267	0.00203839	0.00126498	0.000076018	0.0021449	0.000968796	-0.00655083	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.180138	0.00237762	0.00118689	0.00377789	0.00363186	-0.000225461	-0.00494274	0.00203839	0.00126498	0.000076018	0.0021449	0.000968796	-0.00655083	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.190118	0.00237762	0.00118689	0.00377789	0.00363186	-0.000225461	-0.00494274	0.00203839	0.00126498	0.000076018	0.0021449	0.000968796	-0.00655083	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
